,Education Index,Income Index,"Share of tariff lines with specific rates, primary products (%)","Share of tariff lines with specific rates, manufactured products (%)",Unemployment with advanced education (% of total labor force with advanced education),"Labor force with intermediate education, female (% of female working-age population with intermediate education)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Progression to secondary school (%),"Literacy rate, adult total (% of people ages 15 and above)",Population growth (annual %),Employment in industry (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Expenditure on tertiary education (% of government expenditure on education),Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),GDP (constant LCU),Adjusted savings: gross savings (% of GNI),"Services, value added (% of GDP)",Final consumption expenditure (% of GDP),Expense (% of GDP),Labor force with basic education (% of total working-age population with basic education),"School enrollment, secondary (% gross)","Primary income receipts (BoP, current US$)",Current account balance (% of GDP),Trade in services (% of GDP)
1990,0.46299999999999997,0.6970000000000001,22056379376.80459,74077776.0,86.515998840332,22056379376.80459,22056379376.80459,17.5,22056379376.80459,11.0,22056379376.80459,7.6424074234431,22056379376.80459,57.6,22056379376.80459,22056379376.80459,10250.810518162472,19.434351898429,330770370820.345,793783.395,22056379376.80459,437818.18181818083,22056379376.80459,22056379376.80459,2.4428956526895704,0.040895286,22056379376.80459
1991,0.475,0.6970000000000001,24370808719.676365,75369086.0,86.4929962158203,24370808719.676365,24370808719.676365,24370808719.676365,24370808719.676365,11.0,24370808719.676365,7.74459807199952,24370808719.676365,24370808719.676365,24370808719.676365,24370808719.676365,10257.936738094242,18.967336896581,316737975727.6034,4092700.0,24370808719.676365,3065381.8181818193,75.3109970092773,24370808719.676365,1.7465083103871546,24370808719.676365,24370808719.676365
1992,0.48700000000000004,0.6940000000000001,20280291956.647846,76642503.0,86.0589981079102,20280291956.647846,20280291956.647846,17.3,20280291956.647846,11.0,20280291956.647846,7.85267219843602,20280291956.647846,58.0,20280291956.647846,20280291956.647846,10071.08533690784,20.463792231054,304038980559.3451,43456700.0,20280291956.647846,45289236.36363627,75.1920013427734,20280291956.647846,2.875192602083004,20280291956.647846,20280291956.647846
1993,0.499,0.698,21991869950.936134,77903594.0,85.5970001220703,21991869950.936134,21991869950.936134,16.5,21991869950.936134,11.0,21991869950.936134,7.95493214254372,21991869950.936134,56.6,21991869950.936134,21991869950.936134,10312.371285131558,20.6889310906629,327878970270.57745,925273900.0,21991869950.936134,995890909.0909085,75.375,21991869950.936134,3.0895486396783247,21991869950.936134,21991869950.936134
1994,0.511,0.701,31449365790.166138,79159715.0,85.1060028076172,31449365790.166138,31449365790.166138,31449365790.166138,31449365790.166138,11.0,31449365790.166138,8.03320399055214,31449365790.166138,31449365790.166138,31449365790.166138,31449365790.166138,10541.485099862075,20.4320436354915,354270584811.2778,30458000000.0,31449365790.166138,24034000000.0,75.8970031738281,31449365790.166138,2.7166590340273706,31449365790.166138,31449365790.166138
1995,0.523,0.7090000000000001,2600000.0,80415362.0,84.5869979858398,25407758522.519623,25407758522.519623,11.2,25407758522.519623,11.0,25407758522.519623,8.07640948364019,70.116096496582,45.0,25407758522.519623,25407758522.519623,11084.119150509565,14.5651542619635,371059167689.85895,35381941900.0,25407758522.519623,25407758522.519623,75.9899978637695,25407758522.519623,2.5692007822888496,25407758522.519623,25407758522.519623
1996,0.535,0.708,3797000.0,81672544.0,82.7760009765625,25520245596.73076,25520245596.73076,12.0,25520245596.73076,11.0,25520245596.73076,8.08291288260813,66.3180999755859,45.5,25520245596.73076,25520245596.73076,11016.23768176238,13.0360971489459,367479804968.16724,40758643700.00001,25520245596.73076,25520245596.73076,77.2760009765625,25520245596.73076,2.055086639124928,25520245596.73076,25520245596.73076
1997,0.547,0.71,4014000.0,82927445.0,83.2850036621094,27215912700.09646,27215912700.09646,11.9,27215912700.09646,11.0,27215912700.09646,8.06094231863046,66.0475006103516,45.5,27215912700.09646,27215912700.09646,11157.105738211321,12.5708533810809,383010536380.1727,44605826600.0,27215912700.09646,34967200000.0,77.306999206543,27215912700.09646,2.432972046619782,27215912700.09646,27215912700.09646
1998,0.5589999999999999,0.706,4171000.0,84171458.0,82.7809982299805,25744763461.598537,25744763461.598537,10.8,25744763461.598537,11.0,25744763461.598537,8.01815184127922,63.8872985839844,44.5,25744763461.598537,25744763461.598537,10886.348469076102,12.0656391306955,374262206002.7284,47612122300.0,25744763461.598537,15698296885.151,77.8109970092773,25744763461.598537,2.819189531283514,25744763461.598537,25744763461.598537
1999,0.5720000000000001,0.703,2863000.0,85392586.0,82.6679992675781,23892802599.42749,23892802599.42749,11.3,23892802599.42749,11.0,23892802599.42749,7.96582954475071,62.6907997131348,45.8,23892802599.42749,23892802599.42749,10694.262808160558,11.179110888303,364687702137.33514,50534827000.0,23892802599.42749,14759650959.3514,77.4410018920898,98.07272,3.3530835706747046,23892802599.42749,23892802599.42749
2000,0.584,0.711,3228000.0,86581634.0,82.0859985351563,26424188507.719604,26424188507.719604,26424188507.719604,0.4,11.0,26424188507.719604,7.9124991121908,26424188507.719604,26424188507.719604,3.47024090588093,26424188507.719604,11275.71461165588,14.406596310877,380904367496.5893,56962388900.0,26424188507.719604,11254627123.6832,76.8659973144531,26424188507.719604,3.7689023646900828,0.040895286,26424188507.719604
2001,0.597,0.711,2674000.0,87736621.0,81.5230026245117,23955616506.024555,23955616506.024555,9.8,23955616506.024555,11.0,23955616506.024555,7.85204412936631,61.4911994934082,41.1,3.5131074488163,23955616506.024555,11236.54931022975,14.0511323420459,378541167860.39105,63169985999.99999,23955616506.024555,13355137485.4272,76.1429977416992,98.85493,4.4625660796345,23955616506.024555,23955616506.024555
2002,0.61,0.713,2338000.0,88858470.0,81.7119979858398,24239402315.5065,24239402315.5065,8.9,24239402315.5065,11.0,24239402315.5065,7.79234546916084,61.8958015441895,40.3,3.68951857089996,1401056.0,11411.517469909417,15.9423775235716,391513174170.07733,81515194800.0,24239402315.5065,11667067992.944101,75.8460006713867,96.72741,4.462652188709989,24239402315.5065,24239402315.5065
2003,0.595,0.713,3229000.0,89944582.0,81.4520034790039,25331172347.42391,25331172347.42391,9.5,25331172347.42391,11.0,25331172347.42391,7.74306002733608,61.0752983093262,41.5,3.51302251219749,1469950.0,11420.164069360188,16.9559493960709,390343601296.04364,105949168600.0,25331172347.42391,10236021691.4353,76.109001159668,94.29506,4.383717247888693,25331172347.42391,25331172347.42391
2004,0.593,0.72,2968000.0,90992765.0,81.9820022583008,27431453854.614704,27431453854.614704,8.4,27431453854.614704,11.0,27431453854.614704,7.71836174912485,62.6314010620117,40.1,3.47137600183487,1570514.0,11958.960343927045,19.4339093890081,424848318383.35614,110912706100.0,27431453854.614704,12772508959.2104,75.8899993896484,95.58531,4.241827303533896,27431453854.614704,27431453854.614704
2005,0.593,0.723,3364000.0,92002090.0,82.1920013427734,26030865055.62309,26030865055.62309,7.5,0.3,11.0,26030865055.62309,7.72649005446119,62.8056983947754,37.9,3.34886908531189,1611582.0,12208.19240583432,18.6532789514335,430776302296.4984,100957549700.00002,26030865055.62309,14817323882.7328,75.5270004272461,96.07993,4.311990046723976,26030865055.62309,26030865055.62309
2006,0.589,0.728,3886000.0,92970773.0,81.5879974365234,34741501908.21305,34741501908.21305,6.3,34741501908.21305,11.0,53.9326690456655,7.77068558796245,62.5269012451172,34.0,3.54532301425934,34741501908.21305,12601.68404522123,18.8823080304812,437096988119.5998,105294016399.99998,34741501908.21305,117600662000.0,76.6900024414063,34741501908.21305,4.211154201664816,34741501908.21305,34741501908.21305
2007,0.588,0.736,4662000.0,93900508.0,81.4980010986328,33810128244.195915,33810128244.195915,6.1,33810128244.195915,11.0,33810128244.195915,7.84227685654909,62.4431991577148,31.9,3.48714329302311,1262634.0,13280.276042497513,19.766217320612,466593746703.0469,120151713600.0,3.1,123167394000.0,77.4810028076172,92.47411,4.375338223566805,33810128244.195915,33810128244.195915
2008,0.608,0.741,5238000.0,94798466.0,81.6449966430664,40693100876.59345,40693100876.59345,5.0,40693100876.59345,11.0,40693100876.59345,7.93380805821168,62.7935981750488,28.7,3.50646302103996,1375114.0,13773.547032652585,19.7101517784879,486090966575.7162,142051177200.0,40693100876.59345,185618448000.0,77.8539962768555,98.53831,4.575410262757633,40693100876.59345,40693100876.59345
2009,0.61,0.74,4920000.0,95674550.0,81.7030029296875,35317229536.638466,35317229536.638466,4.8,35317229536.638466,11.0,45.4601754328202,8.03349034205163,61.0583000183105,27.3,3.71081456542015,1377993.0,13648.879305220027,16.7510199277897,466497949636.19824,149212639000.0,35317229536.638466,125849245000.0,79.0970001220703,96.58508,4.481199919496193,35317229536.638466,35317229536.638466
2010,0.619,0.7490000000000001,6457000.0,96536268.0,81.0500030517578,46918759296.61452,46918759296.61452,46918759296.61452,0.3,11.0,46918759296.61452,8.13150536521598,46918759296.61452,46918759296.61452,3.57876978814602,1412582.0,14409.400930142763,18.3698713384602,513959185993.6334,159932000000.0,4.14,217460820170.108,80.4120025634766,46918759296.61452,4.142357484204336,0.040895286,46918759296.61452
2011,0.622,0.754,7807000.0,97385183.0,80.3889999389648,18.8,42854121309.889534,4.1,42854121309.889534,11.0,45.3438802543435,8.23094585998282,58.7765998840332,23.8,3.4657284617424,1431170.0,14920.995118488258,19.0918444602113,535103925306.95764,190024000000.0,42854121309.889534,217556104780.64798,81.6500015258789,95.69718,4.2477899521432025,42854121309.889534,42854121309.889534
2012,0.628,0.7559999999999999,8497000.0,98220333.0,81.0009994506836,46548813840.12724,46548813840.12724,3.4,46548813840.12724,11.0,46.3765817076202,8.32985074123284,55.6641998291016,21.1,3.3541664481163,1448245.0,15083.437563927271,18.1304613692603,531234644668.03094,200695000000.0,3.55,292036078715.206,81.5059967041016,98.54993,4.778567248961302,46548813840.12724,46548813840.12724
2013,0.6679999999999999,0.76,8866000.0,99043431.0,81.0059967041016,16.99434,20.29,2.8,48502014073.1339,11.0,48502014073.1339,8.41320711970578,54.4253997802734,19.3,3.55135872960091,1441306.0,15579.0088265864,18.4074916239994,542743556161.89185,240291000000.0,48502014073.1339,283900386709.013,82.1429977416992,97.32389,4.949567333615222,48502014073.1339,48502014073.1339
2014,0.674,0.759,9617000.0,99855748.0,80.7409973144531,16.1047744715737,47929236077.17722,2.4,47929236077.17722,11.0,47929236077.17722,8.45950040498312,53.1095008850098,17.6,3.69869247078896,1451313.0,15449.702291359667,16.4407716392716,534558708503.86554,249975000000.0,3.387455,269798545283.432,82.875,97.4362,5.2132660507101924,47929236077.17722,47929236077.17722
2015,0.677,0.752,9478000.0,100657521.0,80.6419982910156,14.77,49902382172.856,2.8,0.2,11.0,53.8087112251176,8.45648896173139,50.7159996032715,18.6,3.80636490881443,1428559.0,14775.209852357833,14.8079888330558,503758355218.2811,258966000000.0,49902382172.856,384918855455.193,83.3150024414063,96.85231,5.800156916781634,49902382172.856,49902382172.856
2016,0.685,0.745,8872000.0,101450193.0,80.3519973754883,52834818359.40256,52834818359.40256,3.3,0.2,11.0,50.74890566,8.40569693519222,45.9841995239258,20.0,3.95496785640717,1417859.0,14138.944574728903,13.7126556212237,480758086061.8464,306655000000.0,3.391947,427675981583.881,84.5,97.20202,5.404430156476181,52834818359.40256,52834818359.40256
2017,0.6890000000000001,0.746,10610000.0,102232091.0,80.0920028686523,52464872893.69715,52464872893.69715,3.7,52464872893.69715,11.0,50.14240901,8.30878946621872,45.2584991455078,20.2,3.96492034196854,1382343.0,14248.310615881248,13.8404489948174,478350786152.7968,302971000000.0,52464872893.69715,320326305506.80505,85.0530014038086,97.55117,5.181424379083083,52464872893.69715,52464872893.69715
2018,0.6890000000000001,0.747,10628000.0,102996245.0,79.9700012207031,55476320428.0168,20.97,3.7,55476320428.0168,11.0,50.70940403,8.18184363426095,45.7939987182617,19.8,55476320428.0168,1380391.0,14181.805529655281,12.7422935159386,480922324067.75806,304400841900.0,3.51,379564543854.215,85.1060028076172,55476320428.0168,5.654425426003123,55476320428.0168,55476320428.0168
